variant,state,candidate,q,return,horizon,pearson,spearman,pairwise,top1,Seed
full_cycle0,14,supervised,-0.21080151200294495,0.0005451863398775458,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,14,actor,-0.21080151200294495,0.0005451863398775458,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,14,zero,-0.06013020873069763,0.00086799735436216,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,14,random,-0.13815641403198242,0.0004533231840468943,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,14,shuffled,0.10941016674041748,0.00123054429423064,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,14,perturb_0.25sigma,-0.19912409782409668,0.0004462932702153921,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,14,perturb_0.5sigma,-0.18412160873413086,0.00034774839878082275,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,14,perturb_1sigma,-0.21593576669692993,0.0005498319515027106,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,14,perturb_2sigma,-0.1996781826019287,0.00046095065772533417,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,15,supervised,-0.08260251581668854,0.0028572400369739626,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,15,actor,-0.08260251581668854,0.0028572400369739626,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,15,zero,-0.011744558811187744,0.0041447668481851,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,15,random,-0.029284223914146423,0.003969915851484984,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,15,shuffled,0.03913135826587677,0.004386138985864818,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,15,perturb_0.25sigma,-0.07049216330051422,0.0029951956239528954,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,15,perturb_0.5sigma,-0.08342039585113525,0.002934041458502179,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,15,perturb_1sigma,-0.07870780676603317,0.003102178467088379,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,15,perturb_2sigma,-0.013773813843727112,0.004083894295035861,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,16,supervised,-0.11852043867111206,0.0009051758679561317,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,16,actor,-0.11852043867111206,0.0009051758679561317,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,16,zero,-0.011272318661212921,0.002038424403508543,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,16,random,0.0152960866689682,0.002612133457660093,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,16,shuffled,0.04050866514444351,0.0026984353607986122,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,16,perturb_0.25sigma,-0.12526050209999084,0.0008673916890984401,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,16,perturb_0.5sigma,-0.13161027431488037,0.0008431267706328072,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,16,perturb_1sigma,-0.13492822647094727,0.000802306200057501,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,16,perturb_2sigma,-0.1624058485031128,0.0008656834997964324,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,17,supervised,-0.15811818838119507,9.063955076271668e-06,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,17,actor,-0.15811818838119507,9.063955076271668e-06,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,17,zero,-0.03976273536682129,0.000999109193799086,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,17,random,-0.09646636247634888,0.00026056597562273964,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,17,shuffled,0.05405789986252785,0.0018961834721267223,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,17,perturb_0.25sigma,-0.1558457612991333,6.698816650896333e-05,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
full_cycle0,17,perturb_0.5sigma,-0.1434943675994873,-8.617898856755346e-07,5,0.6832152149961025,0.5667458207786296,0.8214285714285714,0.7625,42
