Case,Horizon,GreedyFinalError,LongFinalError,AbsoluteOracleGain,RelativeOracleGain,ActionsDifferent
851,10,0.14306432008743286,0.14306432008743286,0.0,0.0,False
851,20,0.14387908577919006,0.14343559741973877,0.00044348835945129395,0.003082368483574545,True
844,5,0.14245697855949402,0.14245697855949402,0.0,0.0,False
844,10,0.14235490560531616,0.14235490560531616,0.0,0.0,False
844,20,0.143390491604805,0.1427566260099411,0.0006338655948638916,0.0044205552806867625,True
916,5,0.13976635038852692,0.1395585685968399,0.00020778179168701172,0.0014866367413144388,True
916,10,0.14006884396076202,0.13958178460597992,0.0004870593547821045,0.0034772854619871505,True
916,20,0.14095841348171234,0.13988858461380005,0.0010698288679122925,0.0075896772777673885,True
855,5,0.14199844002723694,0.14199844002723694,0.0,0.0,False
855,10,0.14200447499752045,0.14200447499752045,0.0,0.0,False
855,20,0.1432235985994339,0.14156648516654968,0.0016571134328842163,0.011570114485943144,True
883,5,0.13860586285591125,0.13860586285591125,0.0,0.0,False
883,10,0.13970477879047394,0.13970477879047394,0.0,0.0,False
883,20,0.14186333119869232,0.14123526215553284,0.0006280690431594849,0.004427282496840694,True
874,5,0.1303931623697281,0.12973780930042267,0.0006553530693054199,0.005025977262881124,True
874,10,0.1303931623697281,0.12849029898643494,0.0019028633832931519,0.014593275818386917,True
874,20,0.1303931623697281,0.12855888903141022,0.001834273338317871,0.014067250958426895,True
896,5,0.131340891122818,0.13122743368148804,0.00011345744132995605,0.0008638394361422523,True
896,10,0.13136529922485352,0.12889903783798218,0.002466261386871338,0.018774070484549515,True
896,20,0.1317015439271927,0.12927153706550598,0.0024300068616867065,0.018450860857258167,True
818,5,0.13511008024215698,0.13511008024215698,0.0,0.0,False
818,10,0.13611547648906708,0.13611547648906708,0.0,0.0,False
818,20,0.138301819562912,0.138301819562912,0.0,0.0,False
940,5,0.12861938774585724,0.1279584914445877,0.0006608963012695312,0.005138387865563591,True
940,10,0.12861938774585724,0.12678153812885284,0.0018378496170043945,0.014289055866413037,True
940,20,0.12861938774585724,0.12714159488677979,0.0014777928590774536,0.01148965863527097,True
958,5,0.14215469360351562,0.14170213043689728,0.00045256316661834717,0.0031835963705890247,True
958,10,0.14216086268424988,0.14159946143627167,0.0005614012479782104,0.003949056282987853,True
958,20,0.14313122630119324,0.14276519417762756,0.00036603212356567383,0.002557318434451381,True
943,5,0.13408757746219635,0.13352471590042114,0.0005628615617752075,0.004197715943774855,True
943,10,0.13408757746219635,0.13207171857357025,0.0020158588886260986,0.015033897448064753,True
943,20,0.13408757746219635,0.13243381679058075,0.0016537606716156006,0.012333436869510522,True
941,5,0.13258996605873108,0.13072897493839264,0.00186099112033844,0.014035685924484731,True
941,10,0.13258996605873108,0.12951435148715973,0.00307561457157135,0.023196435318559465,True
941,20,0.13258996605873108,0.12980414927005768,0.002785816788673401,0.021010766285583148,True
859,5,0.14282235503196716,0.14244383573532104,0.00037851929664611816,0.002650280458975741,True
859,10,0.1428876370191574,0.14225834608078003,0.0006292909383773804,0.004404096474021817,True
859,20,0.14375896751880646,0.14122843742370605,0.002530530095100403,0.01760258952033278,True
